analysis_date,yhat,yhat_lower,yhat_upper,metric
2025-06-01,-481.985929795192,-4201.628075097832,3444.2962197864344,post_volume
2025-06-02,920.8634088223,-3065.014857474344,4652.750119943145,post_volume
2025-06-03,-455.8777749147845,-4554.4686317119895,3238.8192495690337,post_volume
2025-06-04,-455.8802555372414,-4248.88094825186,3379.3373968372885,post_volume
2025-06-05,927.3854873765123,-2852.6596816633028,4649.734647752851,post_volume
2025-06-06,-429.77214303789583,-4279.81765193647,3530.881253135657,post_volume
2025-06-07,943.8268188148797,-2827.9850528879642,4784.417644289109,post_volume
2025-06-08,-403.6639880640102,-4133.198433463328,3443.9513060697814,post_volume
2025-06-09,999.185350569409,-2697.6324371602464,4672.4428330119335,post_volume
2025-06-10,-377.55583316572165,-4059.080636958506,3200.445582637429,post_volume
2025-06-11,-377.5583137732737,-4532.695731518276,3109.986482801971,post_volume
2025-06-12,1005.7074291412366,-2625.2356192643438,4650.677423321501,post_volume
2025-06-13,-351.45020126874704,-4382.677133224943,3566.708165645695,post_volume
2025-06-14,1022.1487605809228,-2684.9523811838953,4907.60009924972,post_volume
2025-06-15,-325.34204629507957,-4105.804823564461,3586.4842942932028,post_volume
2025-06-16,1077.5072923380799,-2495.500881978341,4806.100777851488,post_volume
2025-06-17,-299.23389139129046,-4048.2055237549816,3647.0922009369533,post_volume
2025-06-18,-299.2363719812076,-4144.0296772696975,3359.4327279013496,post_volume
2025-06-19,1084.0293709367622,-2605.9706443316395,5049.371639968704,post_volume
2025-06-20,-273.1282594591253,-4265.191704464815,3424.8765476887284,post_volume
2025-06-21,1100.4707023990832,-2875.250694897063,5031.808043547195,post_volume
2025-06-22,-247.02010447164793,-3827.9113204703967,3615.928950011973,post_volume
2025-06-23,1155.8292341725141,-2670.0759674407846,4936.7191265440215,post_volume
2025-06-24,-220.9119495509811,-4040.022590100266,3624.751027445432,post_volume
2025-06-25,-220.91443014172484,-4220.411097377277,3604.7820875872403,post_volume
2025-06-26,1162.3513127889346,-2923.6507591167365,4865.953624075844,post_volume
2025-06-27,-194.80631760802584,-3975.604927354444,3646.735341973341,post_volume
2025-06-28,1178.7926442635633,-2595.9619767218956,4849.291348130771,post_volume
2025-07-01,-142.59000766866114,-4174.004817755128,3931.7272053483607,post_volume
2025-07-02,-142.59248824560905,-4185.170770172212,3576.7595297619623,post_volume
2025-07-03,1240.673254685516,-2727.2358402086643,4926.262737423015,post_volume
2025-07-04,-116.48437571688441,-3881.548710840738,3869.8277124289175,post_volume
2025-07-05,1257.1145861447035,-2675.9595025214053,5040.354607445907,post_volume
2025-07-06,-90.37622072532406,-4140.378359454975,3795.994780869907,post_volume
2025-07-07,1312.4731179087867,-2380.784608356547,5188.788357022168,post_volume
2025-07-08,-64.2680658024052,-3975.6952911013136,3975.1020616629876,post_volume
2025-07-09,-64.27054638184666,-3938.812287669111,3656.9629993399467,post_volume
2025-07-10,1318.9951965482173,-2585.650252723932,5034.937803784369,post_volume
2025-07-11,-38.16243385046266,-4158.7938225679945,3582.063065034249,post_volume
2025-07-12,1335.4365280131512,-2343.8699685172405,5203.818742667482,post_volume
2025-07-13,-12.054278856585256,-3764.3506426330887,3798.658340745024,post_volume
2025-07-14,1390.795059781061,-2571.9906535374907,4975.248911516903,post_volume
2025-07-15,14.053876057158618,-3913.4727854131033,4029.3074846611767,post_volume
2025-07-16,14.051395478206018,-4015.3634327046243,3583.3767840002943,post_volume
2025-07-17,1397.3171384052857,-2699.9045367152926,5080.056973040611,post_volume
2025-07-18,40.15950800889641,-3629.278219821012,3563.8395230228025,post_volume
2025-07-19,1413.7584698703545,-2111.5075346091826,5140.063894915174,post_volume
2025-07-20,66.26766300118402,-3684.6938298590276,4116.538429306946,post_volume
2025-07-21,1469.1170016379033,-2259.0473057826384,5406.07526187185,post_volume
2025-07-22,92.37581790703439,-3687.087161448617,4167.144691602717,post_volume
2025-07-23,92.37333732047364,-3583.05693168706,3866.681960279049,post_volume
2025-07-24,1475.6390802275723,-2223.350893608732,5260.923369644724,post_volume
2025-07-25,118.48144982046563,-3646.886521541912,3861.772458675103,post_volume
2025-07-26,1492.0804116755235,-2382.091034348826,5078.8397403814115,post_volume
2025-07-27,144.58960479266818,-3632.3036059480655,3729.910848894926,post_volume
2025-07-28,1547.4389434196312,-2387.200544884718,5243.45541116024,post_volume
2025-08-01,196.8033915983135,-3682.736669097108,3802.934857364034,post_volume
2025-08-02,1570.402353451977,-2138.096374211274,5348.323395560494,post_volume
2025-08-03,222.91154657230732,-3630.1843329252047,4167.95414949223,post_volume
2025-08-04,1625.7608852030244,-2159.2243495566895,5298.072112384072,post_volume
2025-08-05,249.01970146054384,-3853.2332881996654,4220.081969209727,post_volume
2025-08-06,249.0172208538097,-3734.5467604656524,4054.156502834033,post_volume
2025-08-07,1632.2829637608202,-2247.8864784147218,5472.385765174001,post_volume
2025-08-08,275.1253333419944,-3478.0934899600097,3808.5493787749797,post_volume
2025-08-09,1648.72429517937,-2349.183102676391,5423.614782816383,post_volume
2025-08-10,301.2334882878173,-3417.183984125856,4122.498232577492,post_volume
2025-08-11,1704.0828268994264,-2321.616282039536,5533.170746422211,post_volume
2025-08-12,327.3416431581245,-3846.5643310376477,3797.230672646594,post_volume
2025-08-13,327.33916255341285,-3899.422179775882,4325.5510975854495,post_volume
2025-08-14,1710.6049054651617,-2011.200366875169,5303.650182893336,post_volume
2025-08-15,353.44727505688377,-3324.037691431884,4148.182282355307,post_volume
2025-08-16,1727.0462369013076,-1692.3660992953405,5522.5139272396655,post_volume
2025-08-17,379.555430016831,-3416.4351722622177,4451.530119894152,post_volume
2025-08-18,1782.4047686427111,-2108.9385549592657,5402.879860863601,post_volume
2025-08-19,405.6635849011054,-3630.319449903861,4152.120784501722,post_volume
2025-08-20,405.66110429836556,-3285.0626982726913,4159.270362917295,post_volume
2025-08-21,1788.9268472113922,-2133.722822710704,5432.607698449749,post_volume
2025-08-22,431.7692167928957,-3449.0741811018524,4125.375611454786,post_volume
2025-08-23,1805.3681786410543,-2227.965463879896,5329.4912782341535,post_volume
2025-08-24,457.8773717558066,-3378.213772040995,4044.46267685807,post_volume
2025-08-25,1860.7267103859956,-1867.1867893372635,5850.435642785844,post_volume
2025-08-26,483.9855266418658,-3446.327236750952,4086.452479107295,post_volume
2025-08-27,483.98304603706924,-3386.037110802827,4164.557977809773,post_volume
2025-08-28,1867.248788947584,-2084.744555048188,5767.417291848711,post_volume
2025-08-29,510.0911585344986,-3421.3851079439637,4261.6445055804,post_volume
2025-08-30,1883.690120380801,-2176.6194139532718,5688.092419166629,post_volume
2025-08-31,536.1993134937248,-3397.818092730583,4375.665809973365,post_volume
2025-09-01,1939.0486521192863,-1770.596057699459,5796.869207474978,post_volume
2025-09-02,562.307468388867,-3020.609417223507,4364.70913857757,post_volume
2025-09-03,562.304987775773,-3631.0828730750072,4466.073915357398,post_volume
