analysis_date,yhat,yhat_lower,yhat_upper,metric
2025-06-01,-481.985929795192,-4203.05431396419,3390.651353570641,post_volume
2025-06-02,920.8634088223,-2953.9597995111503,4673.563415978728,post_volume
2025-06-03,-455.8777749147845,-4134.457450064799,3150.6391996487746,post_volume
2025-06-04,-455.8802555372414,-4151.997015550378,3182.3825328171756,post_volume
2025-06-05,927.3854873765123,-2646.419796887747,4716.256664293363,post_volume
2025-06-06,-429.77214303789583,-4142.859957398574,3386.4273944106094,post_volume
2025-06-07,943.8268188148797,-2874.421717105664,4672.787697036433,post_volume
2025-06-08,-403.6639880640102,-4081.678745271333,3208.914804350705,post_volume
2025-06-09,999.185350569409,-2845.4916962527036,4699.734278598977,post_volume
2025-06-10,-377.55583316572165,-4124.514446524553,3628.3181182018643,post_volume
2025-06-11,-377.5583137732737,-4196.338102185505,3499.2555756234897,post_volume
2025-06-12,1005.7074291412366,-2900.8923577842734,4979.9884605160805,post_volume
2025-06-13,-351.45020126874704,-4609.833322913363,3555.2901566197415,post_volume
2025-06-14,1022.1487605809228,-2639.8633445686864,4829.9082373403035,post_volume
2025-06-15,-325.34204629507957,-4030.872081549769,3447.899804514877,post_volume
2025-06-16,1077.5072923380799,-2751.5930922699513,5053.1873307550395,post_volume
2025-06-17,-299.23389139129046,-4226.400266466978,3368.7246751793737,post_volume
2025-06-18,-299.2363719812076,-4146.999277080023,3518.0237632748162,post_volume
2025-06-19,1084.0293709367622,-2989.8007845218426,4972.316226241031,post_volume
2025-06-20,-273.1282594591253,-4110.808784432078,3475.359522609319,post_volume
2025-06-21,1100.4707023990832,-2459.274621695877,4996.519675587014,post_volume
2025-06-22,-247.02010447164793,-4280.578463935009,3510.2216837196934,post_volume
2025-06-23,1155.8292341725141,-2740.89935852748,4939.88964053617,post_volume
2025-06-24,-220.9119495509811,-4002.788344190486,3700.4565319947933,post_volume
2025-06-25,-220.91443014172484,-3907.709385953557,3882.4415826813474,post_volume
2025-06-26,1162.3513127889346,-2623.0196044760964,5349.846857602778,post_volume
2025-06-27,-194.80631760802584,-3904.682384430371,3508.608848627692,post_volume
2025-06-28,1178.7926442635633,-2818.1436623425766,4713.933572168786,post_volume
2025-07-01,-142.59000766866114,-3795.4941216577768,3779.216618189708,post_volume
2025-07-02,-142.59248824560905,-3936.979146372962,3633.1010258291412,post_volume
2025-07-03,1240.673254685516,-2260.4812363133306,4937.398108974069,post_volume
2025-07-04,-116.48437571688441,-4130.0275135509655,3118.833102573348,post_volume
2025-07-05,1257.1145861447035,-2680.872303631482,4823.882281130718,post_volume
2025-07-06,-90.37622072532406,-4161.326549286118,3997.61618314815,post_volume
2025-07-07,1312.4731179087867,-2518.329906680152,4901.382546672932,post_volume
2025-07-08,-64.2680658024052,-3996.3807536264835,3641.8569897604334,post_volume
2025-07-09,-64.27054638184666,-4107.704529538815,3774.6174559644987,post_volume
2025-07-10,1318.9951965482173,-2488.2437170827607,4933.6446464160135,post_volume
2025-07-11,-38.16243385046266,-4171.560400004682,3748.817569222004,post_volume
2025-07-12,1335.4365280131512,-2438.816032008487,5032.910885012891,post_volume
2025-07-13,-12.054278856585256,-3850.871491577665,4011.7323196946018,post_volume
2025-07-14,1390.795059781061,-2378.136819425193,5169.063983281774,post_volume
2025-07-15,14.053876057158618,-3786.14147986901,3927.6649878515245,post_volume
2025-07-16,14.051395478206018,-3861.417406764737,3963.1534367039376,post_volume
2025-07-17,1397.3171384052857,-2454.556458415021,5032.322923327247,post_volume
2025-07-18,40.15950800889641,-3781.1968530194035,3878.3582940438278,post_volume
2025-07-19,1413.7584698703545,-2460.182500365794,5079.138313061384,post_volume
2025-07-20,66.26766300118402,-3902.4376412130828,3922.800210124368,post_volume
2025-07-21,1469.1170016379033,-2625.776081210178,5345.4859811645,post_volume
2025-07-22,92.37581790703439,-3828.6422070607005,3787.369114289833,post_volume
2025-07-23,92.37333732047364,-3630.36231924713,3983.004845741713,post_volume
2025-07-24,1475.6390802275723,-2153.5677426609127,5379.5197226768805,post_volume
2025-07-25,118.48144982046563,-3718.516033418161,3997.048513067891,post_volume
2025-07-26,1492.0804116755235,-2357.31231043791,5414.249380142529,post_volume
2025-07-27,144.58960479266818,-3632.9382726546464,4238.954433206723,post_volume
2025-07-28,1547.4389434196312,-2229.703723811755,5390.027878596927,post_volume
