analysis_date,yhat,yhat_lower,yhat_upper,metric
2025-06-01,-481.985929795192,-4336.392941487374,3331.2261083961002,post_volume
2025-06-02,920.8634088223,-2746.5191360146564,4670.537272116895,post_volume
2025-06-03,-455.8777749147845,-4655.426442200617,3059.2657187334917,post_volume
2025-06-04,-455.8802555372414,-4143.720003362214,3676.726205548134,post_volume
2025-06-05,927.3854873765123,-2952.0911937167302,5105.099168201868,post_volume
2025-06-06,-429.77214303789583,-4468.773813427014,3156.1335165780924,post_volume
2025-06-07,943.8268188148797,-3038.1838461115703,4766.836428567505,post_volume
2025-06-08,-403.6639880640102,-4106.201167302179,3681.84484779801,post_volume
2025-06-09,999.185350569409,-2893.258732019314,4566.641493255682,post_volume
2025-06-10,-377.55583316572165,-4242.750850665208,3596.623985028343,post_volume
2025-06-11,-377.5583137732737,-4420.53084806982,3409.9997977044018,post_volume
2025-06-12,1005.7074291412366,-2634.1550284954355,4684.8061507887805,post_volume
2025-06-13,-351.45020126874704,-4101.090982312067,3574.129337807778,post_volume
2025-06-14,1022.1487605809228,-2659.1154267522625,5031.593836474235,post_volume
2025-06-15,-325.34204629507957,-4327.940833129741,3224.404168948656,post_volume
2025-06-16,1077.5072923380799,-2530.4808322846634,5177.103381945719,post_volume
2025-06-17,-299.23389139129046,-3945.5316189615273,3433.4126079079474,post_volume
2025-06-18,-299.2363719812076,-3940.9328340788015,3761.1255943574474,post_volume
2025-06-19,1084.0293709367622,-2677.0703541987814,4757.390246961286,post_volume
2025-06-20,-273.1282594591253,-4133.762963341655,3631.357474128736,post_volume
2025-06-21,1100.4707023990832,-2490.7628725851314,4826.284159752816,post_volume
2025-06-22,-247.02010447164793,-4153.057617233764,3626.6863019741086,post_volume
2025-06-23,1155.8292341725141,-2707.9462496696674,4795.901132682276,post_volume
2025-06-24,-220.9119495509811,-4222.01114979669,3683.4044903133777,post_volume
2025-06-25,-220.91443014172484,-4275.698737056519,3463.3974694073167,post_volume
2025-06-26,1162.3513127889346,-2974.0752183173713,4914.670047840931,post_volume
2025-06-27,-194.80631760802584,-4164.337078231501,3716.622210178029,post_volume
2025-06-28,1178.7926442635633,-2462.1495744382255,5379.691665869386,post_volume
2025-07-01,-142.59000766866114,-3796.896217945192,3641.6492301512017,post_volume
2025-07-02,-142.59248824560905,-4183.0846618095275,3579.142594316378,post_volume
2025-07-03,1240.673254685516,-2433.847725575896,5005.8255125936375,post_volume
2025-07-04,-116.48437571688441,-3945.6627313831787,3716.6191250471693,post_volume
2025-07-05,1257.1145861447035,-2504.5009037444092,5257.796308715776,post_volume
2025-07-06,-90.37622072532406,-3827.2463314141323,3659.7651458892237,post_volume
2025-07-07,1312.4731179087867,-2372.368714060498,5521.526720258083,post_volume
2025-07-08,-64.2680658024052,-4082.0543719682314,3937.372726738378,post_volume
2025-07-09,-64.27054638184666,-3809.5107653264863,3697.9802616263296,post_volume
2025-07-10,1318.9951965482173,-2404.7904801545433,4986.393639823668,post_volume
2025-07-11,-38.16243385046266,-3771.737909076789,3998.112495475321,post_volume
2025-07-12,1335.4365280131512,-2492.7994515918704,5289.210169925153,post_volume
2025-07-13,-12.054278856585256,-3890.945472687749,3789.7424021863944,post_volume
2025-07-14,1390.795059781061,-2347.385316495548,5352.337162355608,post_volume
2025-07-15,14.053876057158618,-3611.873400759347,3828.4944407636717,post_volume
2025-07-16,14.051395478206018,-3512.9143699179376,3680.4833427752437,post_volume
2025-07-17,1397.3171384052857,-2509.120339988137,5312.2936825081015,post_volume
2025-07-18,40.15950800889641,-3634.8971157156907,4096.3093418688195,post_volume
2025-07-19,1413.7584698703545,-2618.9494692520702,5149.958592421306,post_volume
2025-07-20,66.26766300118402,-3671.035851126778,3854.660599704895,post_volume
2025-07-21,1469.1170016379033,-2372.604556935412,5334.66652464636,post_volume
2025-07-22,92.37581790703439,-3460.2127923849707,3958.823058556307,post_volume
2025-07-23,92.37333732047364,-3543.457541341986,4145.347049800571,post_volume
2025-07-24,1475.6390802275723,-2423.861257715576,5334.771733063651,post_volume
2025-07-25,118.48144982046563,-3656.194405500103,4154.994510685286,post_volume
2025-07-26,1492.0804116755235,-2240.4989159526044,5462.935170867283,post_volume
2025-07-27,144.58960479266818,-3415.7248556334744,4080.387932568584,post_volume
2025-07-28,1547.4389434196312,-2226.8219509748583,4971.68002130674,post_volume
2025-08-01,196.8033915983135,-3896.2422531418133,3998.8644273419836,post_volume
2025-08-02,1570.402353451977,-1935.888471705541,5419.804341382173,post_volume
2025-08-03,222.91154657230732,-3974.4507567112637,4168.887783570878,post_volume
2025-08-04,1625.7608852030244,-1955.5682096918758,5260.708588103586,post_volume
2025-08-05,249.01970146054384,-3439.264591635208,3942.8131292021408,post_volume
2025-08-06,249.0172208538097,-3517.503920049627,3991.4136732067227,post_volume
2025-08-07,1632.2829637608202,-2266.9122622064738,5440.026397751878,post_volume
2025-08-08,275.1253333419944,-3506.0495104196166,4350.041417424787,post_volume
2025-08-09,1648.72429517937,-2389.900556361377,5220.66349329384,post_volume
2025-08-10,301.2334882878173,-3710.5721524848523,3785.672891995051,post_volume
2025-08-11,1704.0828268994264,-2058.0983119546195,5684.1135428425305,post_volume
2025-08-12,327.3416431581245,-3540.5368911046385,4120.872854147911,post_volume
2025-08-13,327.33916255341285,-3579.7463893302975,4399.886954200924,post_volume
2025-08-14,1710.6049054651617,-2272.0298500881827,5294.231550401601,post_volume
2025-08-15,353.44727505688377,-3439.3801169372227,4282.595425941282,post_volume
2025-08-16,1727.0462369013076,-2274.876356159312,5334.576741222206,post_volume
2025-08-17,379.555430016831,-3293.935210623139,4238.475427937763,post_volume
2025-08-18,1782.4047686427111,-2096.7271912455853,5933.773395126872,post_volume
2025-08-19,405.6635849011054,-3581.9146732598783,4144.807261472398,post_volume
2025-08-20,405.66110429836556,-3437.5514500830004,4056.4730406569397,post_volume
2025-08-21,1788.9268472113922,-2261.437135943352,5416.607456088712,post_volume
2025-08-22,431.7692167928957,-3454.0820250486704,4082.51379361132,post_volume
